主分類,子分類,標題,時間,內文
東吳資科相關,其他東吳資科,東吳資管/資科面試,2024/3/29 上午 10:38:46,"今天一階放榜很開心兩個科系都過了一階🥹🥹
想請問面試的時候教授通常都會怎麼問問題？
過往的面試問題大概都是怎麼樣的？
還有如果兩個科系很幸運都上了的話哪個科系對未來出路比較廣泛？
謝謝大家我真的對面試毫無頭緒😭😭"
東吳資科相關,其他東吳資科,資科要不要改為資工啊,2025/11/15 上午 9:52:31,"大家好，我是數學哥，今天有一則新聞，是政大資科系似乎想改名為政大資工系，預計名字一改政大可以徹底擺脫文組形象，轉而成為和台清交成平起平坐的學校。

剛好咱們東吳也有資科系，要不要順勢改為資工系，到時東吳說不定就成為私大第一學校了 ~"
東吳資科相關,其他東吳資科,東華資工所、北教大資科所選擇請益,2026/7/7 下午 6:13:05,"如題，最近正在糾結，想請教大家的意見。

我家住北部，離北教大很近，但畢竟是教育大學體系，讓我有點猶豫。
東華就是資源比較多，但問題是真的超遠。
我未來想從事科技業，沒有考慮過教育相關行業。

有查到一篇跟我一樣糾結這兩所的，但那篇已經是六年前的文了，想知道現在還是會推薦去東華嗎？還是其實兩間都差不多，可以選北教大就近讀就好？"
東吳資科相關,其他東吳資科,《112推甄》面試分享-清大、政大、台科、中興、東吳,2022/11/30 上午 9:58:13,"推甄期間參考許多版上的文章，順利上岸後把想面試過程回饋給末來的學弟妹，希望對你們有幫助~\(≧▽≦)/~

📌 清大科管［二階沒過］
（個人面試；兩關各7分鐘；每關3位教授）
第一關
1. 自我介紹2-3分鐘
2. 優勢是什麼
3. 為什麼想讀科管
4. 個人經歷相關問題（競賽經驗）

第二關
1. （中英皆可）自我介紹2-3分鐘
2. （英文題）有沒有什麼比較少人知道關於自己的事情
3. （中文題）詢問大專生計畫相關問題

📌 政大資科（資工一般組）［備取］
（個人面試；一關6分鐘；共3位教授）
1. 自我介紹
2. 過去做過的專題
3. 詢問大專生計畫相關問題

📌 台科企研［正取］
（個人面試；兩關各5分鐘；各3位教授）
第一關
1. 自我介紹（約1分鐘）
2. 詢問過去做過的專題

第二關
2. 自我介紹（約1分鐘）
3. 未來研究方向
4. 有沒有實習過
5. 印象深刻的課程


📌 中興科管（科技管理組）［正取］
（個人面試；一關7分鐘；共3位教授）
1. 自我介紹
2. 最近讀過的書籍
3. （曾經參加過AWS Educate Taiwan 的活動）詢問活動經歷
4. AWS跟Google 比較偏好使用哪一種？

📌 東吳資科［正取］
（個人面試；一關5分鐘；共3位教授）
1. 自我介紹 1分鐘
2. 有申請其他學校嗎？
3. 研究領域
4. 個人經歷相關問題"
東吳資科相關,其他東吳資科,東吳大學最難念的科系,2025/10/9 下午 10:49:47,是誰
東吳資科相關,其他東吳資科,#升學 北醫醫管 VS 東吳會計,2026/6/1 上午 9:52:50,"家人比較希望我選東吳會計
我自己則比較偏向北醫醫管（想校際選課北聯大）

家人的想法其實不難理解，他們覺得會計是一個很明確的專業，出路清楚、業界認可度也高。未來不管是進企業、考證照、進四大會計師事務所，都算有一條相對穩定的路可以走，但就是很操，聽說大小考不斷，感覺自己沒時間修我有興趣的社科相關科系。

但我比較猶豫的是，我其實對很多領域都有興趣，不只商管而已，選北醫醫管很大一部分是因為想去修北大公共事務學院或社科院的課，系上又有實習、資訊相關課程，不是純管，國際排名和給分也比東吳好很多，應該有機會去國外。

另外也想請教幾個問題：
北醫學生如果想去修北大的課，校際選課會有什麼限制嗎？"
東吳資科相關,其他東吳資科,東吳純愛組投資人？,2026/5/23 下午 9:44:46,我們東吳巧虎哥怎麼就不發文了，啊還跑去逢甲演講？在東吳待了4年也不知道有這號人物，還是我們證研社或是商業分析社能邀請一下。看一下是不是真的東吳的？還有這人到底有沒有料？
東吳資科相關,其他東吳資科,東吳經濟 輔大會計,2026/6/5 下午 3:14:53,"如題 這兩天在填志願的時候在猶豫這兩間要選哪一間好
有沒有好心人可以分享這兩個校系的優缺點😭🙏"
東吳資科相關,其他東吳資科,如何善用東吳的資源，讓自己將來功成名就？？？,2023/1/23 下午 10:03:15,"如題，過年期間很常被親戚問學校、成績或成就之類的，但每次家人看到我是讀私立的好像都很嫌棄，再加上跟親戚的小孩比起來（剛好有兩三個都是同屆的）我明顯就是差一截，除了自己是商學院不像其他表姊妹是電資科系之外，更不像他們能用五大四中🤦‍♀️可是⋯我也⋯希望自己也能像他們那樣，想請問各位學長姊或同學？！如何善用學校資源，培養自己的能力讓自己能功成名就？？？？
（（是說⋯讀東吳⋯還能功成名就嗎？😭"
東吳資科相關,其他東吳資科,東吳英檢,2026/6/10 上午 1:52:03,不好意思打擾到大家晚上唸期末 可以問有人知道東吳英檢下一次大概是在什麼時候嗎
