id,source,text
116,visible:span[dir='auto'],"東吳法 中正犯防正取😭😭
謝謝教授 謝謝努力的自己！！"
117,visible:span[dir='auto'],東吳數學系正取，還蠻開心的，但是聽到要八個人幾一間宿舍這是真的嗎？有人可以分享嗎？
118,visible:span[dir='auto'],"機會渺茫 但還是很想上法律系啊😭
東吳還有機會嗎"
119,visible:span[dir='auto'],面試東吳企管的不要緊張！老師人很好 講話也很溫柔 正常發揮就好 問題都是備審裡的
120,visible:span[dir='auto'],"東吳政治系的學長姐和教授人都好好😍
但刮刮樂67有問題"
121,visible:span[dir='auto'],今天東吳新生報到 有人要認識嗎
122,visible:span[dir='auto'],新來的東吳的學弟妹集合！🔥🔥
123,visible:span[dir='auto'],"好了我知足 我有東吳企管就好了真的
球球讓我上吧 小女子給您跪了🙇🏻‍♀️🙇🏻‍♀️"
124,visible:span[dir='auto'],有人上東吳日文系嗎🙋🏿🙋🏿還是有東吳的想交個朋友
125,visible:span[dir='auto'],"要畢業啦！！！
中原財法 🔚
東吳科法 🔛"
126,visible:span[dir='auto'],"睡太晚了
起床直接看到錄取東吳大學
有人也是東吳的嗎？想要找同學😻"
127,visible:span[dir='auto'],東吳政治為什麼剩我沒被海巡到
128,visible:span[dir='auto'],"台大會計：國英數A*39
政大會計：國英數A*社51
成大會計：國英數A*社46
中興會計：國英數A*社43
北大會計：國英數A*社39
中正會計：國11英13
彰師會計：國11英11
東吳會計：國英數B*28
東海會計：國9社12
中原會計：英社19
逢甲會計：英7社10
輔仁會計：英社7，數B*9
實踐會計：國10
亞洲會計：社10
淡江會計：國9
靜宜會計：國9
文化會計：國9
義守會計：國9
長榮會計：國8
屏東會計：英5數B*2
東華會計：英5"
